movie_name,ranking,score,score_num
冰川时代,187,8.6,536849
你看起来好像很好吃,188,8.9,291291
疯狂的石头,189,8.5,698647
萤火虫之墓,190,8.7,365932
雨人,191,8.7,356204
色，戒,192,8.5,622571
雨中曲,193,9.1,181943
恐怖游轮,194,8.5,696123
恋恋笔记本,195,8.6,572030
魔女宅急便,196,8.7,395993
2001太空漫游,197,8.8,261459
城市之光,198,9.3,119252
可可西里,199,8.8,258023
二十二,200,8.7,262148
虎口脱险,201,8.9,212246
人工智能,202,8.7,381532
初恋这件小事,203,8.4,880419
海边的曼彻斯特,204,8.6,422901
遗愿清单,205,8.7,359927
奇迹男孩,206,8.6,492093
大佛普拉斯,207,8.7,364751
罗生门,208,8.8,266750
终结者2：审判日,209,8.8,299311
牯岭街少年杀人事件,210,8.9,232128
房间,211,8.8,331979
青蛇,212,8.6,449317
源代码,213,8.5,710598
无间道2,214,8.7,377146
新龙门客栈,215,8.6,382417
东京教父,216,9.0,166532
疯狂的麦克斯4：狂暴之路,217,8.6,453138
魂断蓝桥,218,8.8,239827
波西米亚狂想曲,219,8.7,505011
无耻混蛋,220,8.6,410733
步履不停,221,8.8,235609
血钻,222,8.7,320057
茶馆,223,9.5,83052
彗星来的那一夜,224,8.5,464720
燃情岁月,225,8.8,252164
战争之王,226,8.7,309843
千钧一发,227,8.8,236492
黑客帝国2：重装上阵,228,8.6,338299
谍影重重2,229,8.7,307749
海洋,230,9.1,144045
崖上的波妞,231,8.6,405149
阿飞正传,232,8.5,434256
穿越时空的少女,233,8.6,338352
背靠背，脸对脸,234,9.5,85227
谍影重重,235,8.6,368865
地球上的星星,236,8.9,180532
香水,237,8.5,483971
小丑,238,8.7,861482
完美陌生人,239,8.5,467972
再次出发之纽约遇见你,240,8.6,369575
我爱你,241,9.1,143076
爱乐之城,242,8.4,726044
朗读者,243,8.6,409705
火星救援,244,8.5,606485
驴得水,245,8.3,801783
聚焦,246,8.8,243101
小萝莉的猴神大叔,247,8.4,431371
浪潮,248,8.7,238295
猜火车,249,8.6,374639
千年女优,250,8.8,205096
